4 loaded, numprocesses=1, numholes=1, memusage=45%
2 loaded, numprocesses=2, numholes=1, memusage=72%
1 loaded, numprocesses=3, numholes=1, memusage=92%
3 loaded, numprocesses=2, numholes=2, memusage=67%
5 loaded, numprocesses=3, numholes=2, memusage=75%
6 loaded, numprocesses=3, numholes=3, memusage=55%
7 loaded, numprocesses=4, numholes=3, memusage=71%
8 loaded, numprocesses=5, numholes=3, memusage=80%
4 loaded, numprocesses=3, numholes=2, memusage=63%
2 loaded, numprocesses=4, numholes=2, memusage=89%
3 loaded, numprocesses=4, numholes=1, memusage=91%
6 loaded, numprocesses=4, numholes=2, memusage=70%
1 loaded, numprocesses=5, numholes=2, memusage=90%
7 loaded, numprocesses=5, numholes=2, memusage=80%
4 loaded, numprocesses=4, numholes=2, memusage=79%
3 loaded, numprocesses=4, numholes=1, memusage=80%
2 loaded, numprocesses=4, numholes=2, memusage=60%
6 loaded, numprocesses=4, numholes=2, memusage=60%
1 loaded, numprocesses=5, numholes=2, memusage=80%
