1 loaded, numprocesses=1, numholes=1, memusage=32%
2 loaded, numprocesses=2, numholes=1, memusage=59%
3 loaded, numprocesses=3, numholes=1, memusage=89%
4 loaded, numprocesses=4, numholes=1, memusage=94%
5 loaded, numprocesses=4, numholes=2, memusage=80%
6 loaded, numprocesses=4, numholes=3, memusage=65%
7 loaded, numprocesses=5, numholes=3, memusage=70%
8 loaded, numprocesses=6, numholes=3, memusage=84%
9 loaded, numprocesses=6, numholes=3, memusage=67%
10 loaded, numprocesses=7, numholes=3, memusage=74%
1 loaded, numprocesses=6, numholes=4, memusage=72%
3 loaded, numprocesses=6, numholes=4, memusage=70%
2 loaded, numprocesses=6, numholes=4, memusage=67%
5 loaded, numprocesses=7, numholes=3, memusage=85%
6 loaded, numprocesses=7, numholes=3, memusage=74%
1 loaded, numprocesses=6, numholes=4, memusage=72%
3 loaded, numprocesses=6, numholes=4, memusage=70%
2 loaded, numprocesses=6, numholes=4, memusage=67%
5 loaded, numprocesses=7, numholes=3, memusage=85%
6 loaded, numprocesses=7, numholes=3, memusage=74%
